EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
229,BEACH CITY,MUNICIPAL,H,CHAMBERS,N,31,81,136,197,265,337
230,BEASLEY,MUNICIPAL,H,FORT BEND,N,25,22,32,43,58,79
231,BECKVILLE,MUNICIPAL,I,PANOLA,N,0,0,0,0,0,0
232,BEDFORD,MUNICIPAL,C,TARRANT,N,0,799,1838,2888,3649,4328
234,BEEVILLE,MUNICIPAL,N,BEE,N,0,0,0,0,0,0
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,BELL,Y,0,0,0,0,0,0
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,FALLS,Y,0,0,0,0,0,0
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,MILAM,Y,0,0,0,0,0,0
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,WILLIAMSON,Y,0,0,0,0,0,0
236,BELLAIRE,MUNICIPAL,H,HARRIS,N,305,275,82,124,167,217
237,BELLMEAD,MUNICIPAL,G,MCLENNAN,N,0,0,0,0,0,0
238,BELLS,MUNICIPAL,C,GRAYSON,N,0,24,48,79,413,608
239,BELLVILLE,MUNICIPAL,H,AUSTIN,N,0,0,0,0,0,0
240,BELTON,MUNICIPAL,G,BELL,N,0,0,0,0,0,40
241,BENAVIDES,MUNICIPAL,N,DUVAL,N,0,0,0,0,0,0
242,BENBROOK,MUNICIPAL,C,TARRANT,N,760,1214,1685,2813,6160,6160
243,BENTON CITY WSC,MUNICIPAL,L,ATASCOSA,Y,0,0,0,0,0,15
243,BENTON CITY WSC,MUNICIPAL,L,FRIO,Y,0,0,0,0,0,1
243,BENTON CITY WSC,MUNICIPAL,L,MEDINA,Y,0,0,0,0,0,9
244,BERRYVILLE,MUNICIPAL,I,HENDERSON,N,0,0,0,0,0,0
245,BERTRAM,MUNICIPAL,K,BURNET,N,40,118,184,249,307,358
246,BETHANY WSC,MUNICIPAL,G,JOHNSON,N,0,0,0,0,0,0
247,BETHEL-ASH WSC,MUNICIPAL,C,HENDERSON,Y,0,0,0,0,0,0
247,BETHEL-ASH WSC,MUNICIPAL,D,VAN ZANDT,Y,0,0,0,0,0,0
247,BETHEL-ASH WSC,MUNICIPAL,I,HENDERSON,Y,0,0,0,0,0,0
248,BETHESDA WSC,MUNICIPAL,C,TARRANT,Y,534,718,0,0,47,233
248,BETHESDA WSC,MUNICIPAL,G,JOHNSON,Y,917,1263,2657,3233,3731,4242
249,BEVERLY HILLS,MUNICIPAL,G,MCLENNAN,N,0,0,0,0,0,0
250,BEVIL OAKS,MUNICIPAL,I,JEFFERSON,N,0,0,0,0,0,0
252,BIG LAKE,MUNICIPAL,F,REAGAN,N,0,0,0,0,0,0
254,BIG SANDY,MUNICIPAL,D,UPSHUR,N,0,0,0,0,0,0
255,BIG SPRING,MUNICIPAL,F,HOWARD,N,2887,1728,2115,2454,2775,3058
256,BIG WELLS,MUNICIPAL,L,DIMMIT,N,0,0,0,0,0,0
257,BISHOP,MUNICIPAL,N,NUECES,N,0,0,0,0,0,0
259,BITTER CREEK WSC,MUNICIPAL,G,FISHER,Y,0,0,0,0,0,0
259,BITTER CREEK WSC,MUNICIPAL,G,NOLAN,Y,0,0,0,0,0,0
260,BLACKLAND WSC,MUNICIPAL,C,ROCKWALL,Y,52,165,220,266,320,386
260,BLACKLAND WSC,MUNICIPAL,D,HUNT,Y,1,2,2,2,3,3
261,BLANCO,MUNICIPAL,K,BLANCO,N,0,0,0,0,0,0
263,BLOOMING GROVE,MUNICIPAL,C,NAVARRO,N,0,58,70,88,110,135
264,BLOSSOM,MUNICIPAL,D,LAMAR,N,0,0,0,0,0,0
265,BLUE BELL MANOR UTILITY COMPANY,MUNICIPAL,H,HARRIS,N,259,355,382,423,466,505
266,BLUE MOUND,MUNICIPAL,C,TARRANT,N,0,0,0,0,0,0
267,BLUE RIDGE,MUNICIPAL,C,COLLIN,N,0,93,270,1320,3129,5369
268,BOERNE,MUNICIPAL,L,KENDALL,N,0,0,0,650,1639,2613
269,BOGATA,MUNICIPAL,D,RED RIVER,N,0,0,0,0,0,0
271,BOLIVAR WSC,MUNICIPAL,C,COOKE,Y,0,17,36,53,71,86
